youtube_id	yt_title	yt_channel	catalog_artist	catalog_title	verdict	playable	reason	n_tracks
0C3zgYW_FAM	Weezer - Island In The Sun (Spike Jonze Version)	WeezerVEVO	Weezer	Island in the Sun	ok	Y		1
tkbgtVFlyCQ	Pearl Jam - Even Flow	Mynster95	Pearl Jam	Even Flow	ok	Y		4
TdrL3QxjyVw	Lana Del Rey - Summertime Sadness (Official Music Video)	LanaDelReyVEVO	Lana Del Rey	Summertime Sadness	ok	Y		5
U3sMjm9Eloo	Tom Cochrane - Life Is A Highway (Official Video)	TomCochraneVEVO	Tom Cochrane	Life Is a Highway	ok	Y		6
F1NBpVKWh_c	Space - Female Of The Species	Radial by The Orchard	Space	Female of the Species	ok	Y		2
fIUI0tEL3Ng	Digimon Fusion - Official Opening Theme Song | Power Rangers Official	Power Rangers Official	Bande originale	Digimon Theme	ok	Y		1
qJS3xnD7Mus	Pulp - Disco 2000	PulpVEVO	Pulp	Disco 2000	ok	Y		3
xGytDsqkQY8	Semisonic - Closing Time (Official Music Video)	SemisonicVEVO	Semisonic	Closing Time	ok	Y		7
450p7goxZqg	John Legend - All of Me (Official Video)	johnlegendVEVO	John Legend	All of Me	ok	Y		8
ewRjZoRtu0Y	M.I.A. - Paper Planes	MIAVEVO	M.I.A.	Paper Planes	ok	Y		5
aWR1h-5EzUo	The Walkmen   The Rat	xUltraVioletDreamx	The Walkmen	The Rat	ok	Y		2
gH476CxJxfg	Daniel Powter - Bad Day (Official Music Video) [HD]	Daniel Powter	Daniel Powter	Bad Day	ok	Y		4
dkpgz3uQ58U	Interpol - Evil (Official Video)	Interpol	Interpol	Evil	ok	Y		4
OHTSxw6zN1E	The Shins - Australia [OFFICIAL VIDEO]	Sub Pop	The Shins	Australia	ok	Y		2
FiPhaXtFY9U	Harley Davidson	Brigitte Bardot - Topic	Brigitte Bardot	Harley Davidson	ok	Y		1
eSD5hjpyBO0	Steven Universe Official Soundtrack | We Are The Crystal Gems | Cartoon Network	Steven Universe Music	Bande originale	We Are the Crystal Gems	ok	Y		1
eAfyFTzZDMM	Christina Aguilera - Beautiful (Official HD Video)	CAguileraVEVO	Christina Aguilera	Beautiful	ok	Y		6
3gOHvDP_vCs	Justin Timberlake - SexyBack (Official Video) ft. Timbaland	justintimberlakeVEVO	Justin Timberlake	SexyBack	ok	Y		7
mOYZaiDZ7BM	Rednex - Cotton Eye Joe (Official Music Video) [HD] - RednexMusic com	Rednex Videos	Rednex	Cotton Eye Joe	ok	Y		12
5NV6Rdv1a3I	Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers	DaftPunkVEVO	Daft Punk ft. Pharrell Williams	Get Lucky	ok	Y		14
1IdEhvuNxV8	Donna Summer- Hot Stuff	Kevin Ruiz	Donna Summer	Hot Stuff	ok	Y		6
zol2MJf6XNE	Animal Collective - My Girls (Official Video)	Domino Recording Co.	Animal Collective	My Girls	ok	Y		4
4m48GqaOz90	The Black Eyed Peas - Boom Boom Pow (Official Music Video)	BlackEyedPeasVEVO	The Black Eyed Peas	Boom Boom Pow	ok	Y		3
a01QQZyl-_I	Queen and David Bowie - Under Pressure (Official Video)	Queen Official	Queen & David Bowie	Under Pressure	ok	Y		5
im9XuJJXylw	The Twist - Chubby Checker	RetroTVCentral	Chubby Checker	The Twist	ok	Y		1
euCqAq6BRa4	DJ Snake - Let Me Love You (Official Music Video) ft. Justin Bieber	DJSnakeVEVO	DJ Snake ft. Justin Bieber	Let Me Love You	ok	Y		3
HEXWRTEbj1I	Haddaway - What Is Love (Official 4K Video)	DECADR	Haddaway	What Is Love	ok	Y		14
bOnIMq9bME8	Love Me, Please Love Me	Michel Polnareff - Topic	Michel Polnareff	Love Me, Please Love Me	ok	Y		1
qLrnkK2YEcE	The Avalanches - Frontier Psychiatrist (Official HD Video)	TheAvalanchesVEVO	The Avalanches	Frontier Psychiatrist	ok	Y		2
Y0L0jVe0duc	Ramones - "I Wanna Be Sedated" - Road to Ruin	Ramones	Ramones	I Wanna Be Sedated	ok	Y		1
Kr0tTbTbmVA	DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video)	DJJazzyJeffVEVO	DJ Jazzy Jeff & The Fresh Prince	Summertime	ok	Y		2
fV4DiAyExN0	Hoobastank - The Reason (Official Music Video)	HoobastankVEVO	Hoobastank	The Reason	ok	Y		3
ryJ3gOTScGM	Bluey Theme Tune	Bluey - Topic	Bande originale	Bluey Theme	ok	Y		1
kXYiU_JCYtU	Numb (Official Music Video) [4K UPGRADE] – Linkin Park	Linkin Park	Linkin Park	Numb	ok	Y		6
RF0HhrwIwp0	Kings Of Leon - Sex on Fire (Official Video)	kingsofleonVEVO	Kings of Leon	Sex on Fire	ok	Y		6
ZaI2IlHwmgQ	The Black Eyed Peas - Pump It (Official Music Video)	BlackEyedPeasVEVO	The Black Eyed Peas	Pump It	ok	Y		2
CSvFpBOe8eY	System Of A Down - Chop Suey! (Official HD Video)	systemofadownVEVO	System of a Down	Chop Suey!	ok	Y		6
_Yhyp-_hX2s	Eminem - Lose Yourself [HD]	msvogue23	Eminem	Lose Yourself	ok	Y		7
LOZuxwVk7TU	Britney Spears - Toxic (Official HD Video)	BritneySpearsVEVO	Britney Spears	Toxic	ok	Y		7
tKjZuykKY1I	The Darkness - I Believe In A Thing Called Love (Official Music Video) [HD]	RHINO	The Darkness	I Believe in a Thing Called Love	ok	Y		1
MmZexg8sxyk	MGMT - Electric Feel (Official HD Video)	MGMTVEVO	MGMT	Electric Feel	ok	Y		6
2vjPBrBU-TM	Sia - Chandelier (Official Video)	SiaVEVO	Sia	Chandelier	ok	Y		8
duzOksadaNs	Cathy Doll Dolly Long Mascara	Karmart Global	Dolly	Mascara	ok	Y		1
TWcyIpul8OE	Bon Iver - Holocene - Official Video	Bon Iver	Bon Iver	Holocene	ok	Y		2
iAP9AF6DCu4	The Calling - Wherever You Will Go (Official Video)	TheCallingVEVO	The Calling	Wherever You Will Go	ok	Y		3
xPU8OAjjS4k	3 Doors Down - Kryptonite (Official Video)	3DoorsDownVEVO	3 Doors Down	Kryptonite	ok	Y		3
RvnkAtWcKYg	Paramore: Decode [OFFICIAL VIDEO]	Paramore	Paramore	Decode	ok	Y		2
XPpTgCho5ZA	Maroon 5 - This Love	Maroon5VEVO	Maroon 5	This Love	ok	Y		3
9EcjWd-O4jI	Technotronic - Pump Up The Jam (Official Music Video)	TechnotronicVEVO	Technotronic	Pump Up the Jam	ok	Y		9
zKGnPoTOwp8	7 heures du matin	Jacqueline Taïeb - Topic	Jacqueline Taïeb	7 heures du matin	ok	Y		1
9HFVo1KcyfM	Hugues Aufray - Santiano	Generations Tubes	Hugues Aufray	Santiano	ok	Y		1
IxxstCcJlsc	Zedd - Clarity ft. Foxes	ZEDDVEVO	Calvin Harris ft. John Newman	Blame	ok	Y		4
RbphduSK67A	CHVRCHES - Recover (Official Song)	MrFenty900	CHVRCHES	Recover	ok	Y		2
ktvTqknDobU	Imagine Dragons - Radioactive	ImagineDragonsVEVO	Imagine Dragons	Radioactive	ok	Y		11
hHUbLv4ThOo	Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)	PitbullVEVO	Pitbull ft. Ke$ha	Timber	ok	Y		4
LuQrLsTUcN0	Bon Iver - Flume	yurksemesh	Bon Iver	Flume	ok	Y		2
2QT5eGHCJdE	Daughter - Youth	DaughterVEVO	Daughter	Youth	ok	Y		2
VGvHnDeS12o	Grouplove - "Ways to Go" [OFFICIAL MUSIC VIDEO]	GROUPLOVE	Grouplove	Ways to Go	ok	Y		2
lmc21V-zBq0	Woodkid - Run Boy Run (Official HD Video)	WOODKID	Woodkid	Run Boy Run	ok	Y		2
10yrPDf92hY	Kendrick Lamar - M.A.A.D. City (Feat. MC eiht)	bubz01	Kendrick Lamar	m.A.A.d city	ok	Y		2
pFptt7Cargc	Tame Impala - Let It Happen (Official Video)	tameimpalaVEVO	Tame Impala	Let It Happen	ok	Y		2
Sv6dMFF_yts	Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO]	Fueled By Ramen	fun.	We Are Young	ok	Y		6
Pib8eYDSFEI	The xx - Crystalised (Official Video)	The xx	The xx	Crystalised	ok	Y		2
yHV04eSGzAA	Kimbra - "Settle Down"	Forum5Recordings	Kimbra	Settle Down	ok	Y		2
MDZsNksbw2Q	Wild Cherry - Play That Funky Music	Rewind Music Group	Wild Cherry	Play That Funky Music	ok	Y		7
LjhCEhWiKXk	Bruno Mars - Just The Way You Are (Official Music Video)	Bruno Mars	Bruno Mars	Just the Way You Are	ok	Y		5
PVjiKRfKpPI	Hozier - Take Me To Church	HozierVEVO	Hozier	Take Me to Church	ok	Y		5
09R8_2nJtjg	Maroon 5 - Sugar (Official Music Video)	Maroon5VEVO	Maroon 5	Sugar	ok	Y		5
Mgfe5tIwOj0	Dua Lipa - IDGAF (Official Music Video)	Dua Lipa	Dua Lipa	IDGAF	ok	Y		2
pXRviuL6vMY	twenty one pilots: Stressed Out [OFFICIAL VIDEO]	Fueled By Ramen	Twenty One Pilots	Stressed Out	ok	Y		3
nfs8NYg7yQM	Charlie Puth - Attention [Official Video]	Charlie Puth	Charlie Puth	Attention	ok	Y		3
mWRsgZuwf_8	Imagine Dragons - Demons (Official Music Video)	ImagineDragonsVEVO	Imagine Dragons	Demons	ok	Y		4
Io0fBr1XBUA	The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya	ChainsmokersVEVO	The Chainsmokers ft. Daya	Don't Let Me Down	ok	Y		5
KRaWnd3LJfs	Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video)	Maroon5VEVO	Maroon 5 ft. Wiz Khalifa	Payphone	ok	Y		3
k2qgadSvNyU	Dua Lipa - New Rules (Official Music Video)	Dua Lipa	Dua Lipa	New Rules	ok	Y		5
LHCob76kigA	Lukas Graham - 7 Years [Official Music Video]	Lukas Graham	Lukas Graham	7 Years	ok	Y		3
lKcpodt0YCU	Melanie - Brand New Key (Audio)	LegacyRecordingsVEVO	Melanie	Brand New Key	ok	Y		1
aDdOnl0bHO4	Joan Osborne - One Of Us	JoanOsborneVEVO	Joan Osborne	One of Us	ok	Y		1
wv-34w8kGPM	Divinyls - I Touch Myself (Official Music Video)	DivinylsVEVO	Divinyls	I Touch Myself	ok	Y		3
xqTBlft8gQA	Trio   Da Da Da  Official Video	KC	Trio	Da Da Da	ok	Y		1
m7Bc3pLyij0	Marshmello ft. Bastille - Happier (Official Music Video)	Marshmello	Marshmello & Bastille	Happier	ok	Y		2
d-diB65scQU	Bobby McFerrin - Don't Worry Be Happy (Official Music Video)	BobbyMcFerrinVEVO	Bobby McFerrin	Don't Worry, Be Happy	ok	Y		2
xpVfcZ0ZcFM	Drake - God's Plan	DrakeVEVO	Drake	God's Plan	ok	Y		4
VbfpW0pbvaU	Shawn Mendes - Stitches (Official Music Video)	ShawnMendesVEVO	Shawn Mendes	Stitches	ok	Y		3
RIgglHKiJRA	Miraculous (générique de la série TV "Tales of Ladybug & Cat Noir")	Lou - Topic	Bande originale	Miraculous Theme	title_mismatch	Y		1
h0Ilq6TT2ls	Annie Philippe - Ticket de Quai	wassa751	Annie Philippe	Ticket de quai	ok	Y		1
Nntd2fgMUYw	Eagle-Eye Cherry - Save Tonight	EagleEyeCherryVEVO	Eagle-Eye Cherry	Save Tonight	ok	Y		6
wYsMjEeEg4g	Harvey Danger - Flagpole Sitta (Official Music Video)	No Sleep Records	Harvey Danger	Flagpole Sitta	ok	Y		6
hLQl3WQQoQ0	Adele - Someone Like You (Official Music Video)	Adele	Adele	Someone Like You	ok	Y		8
tg00YEETFzg	Rihanna - We Found Love ft. Calvin Harris	RihannaVEVO	Rihanna	We Found Love	ok	Y		10
NI6aOFI7hms	The Cardigans - Lovefool (Official Music Video)	TheCardigansVEVO	The Cardigans	Love Fool	ok	Y		1
hcm55lU9knw	Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata)	Michel Teló	Michel Teló	Ai Se Eu Te Pego	ok	Y		6
Z-FPimCmbX8	Whoomp There It Is - Tag Team	El Machin	Tag Team	Whoomp! (There It Is)	ok	Y		3
7pKrVB5f2W0	Stromae - Alors on danse (Official Music Video)	Universal Music France	Stromae	Alors on danse	ok	Y		4
kMNPv_HXffQ	Marc Anthony - Vivir Mi Vida (Audio)	marcanthonyVEVO	Marc Anthony	Vivir Mi Vida	ok	Y		3
0-7IHOXkiV8	KALEO - Way Down We Go (Official Music Video)	KALEO	Kaleo	Way Down We Go	ok	Y		1
HyHNuVaZJ-k	Gorillaz - Feel Good Inc. (Official Video)	Gorillaz	Gorillaz	Feel Good Inc.	ok	Y		7
6JCLY0Rlx6Q	WALK THE MOON - Shut Up and Dance (Official Video)	WalkTheMoonVEVO	Walk the Moon	Shut Up and Dance	ok	Y		8
IcrbM1l_BoI	Avicii - Wake Me Up (Official Video)	AviciiOfficialVEVO	Avicii	Wake Me Up	ok	Y		9
7JTdh2Ow4ng	Dalida - Bambino	Kareem Elgebaly	Dalida	Bambino	ok	Y		3
zySaOMmL34Y	Wheels on the Bus	CoComelon - Topic	Bande originale	Wheels on the Bus	ok	Y		1
rMcl3pgliUA	Le jour où la colombe	Nana Mouskouri - Topic	Nana Mouskouri	Le Jour où la colombe	ok	Y		1
kVpv8-5XWOI	Train - Hey, Soul Sister (Official Video)	TrainVEVO	Train	Hey Soul Sister	ok	Y		1
pBkHHoOIIn8	Portugal. The Man - Feel It Still (Official Music Video)	Portugal. The Man	Portugal. The Man	Feel It Still	ok	Y		4
0uLI6BnVh6w	Elle King - Ex's & Oh's (Official Video)	ElleKingVEVO	Elle King	Ex's & Oh's	ok	Y		3
FyASdjZE0R0	The Chainsmokers - Roses (Official Audio) ft. ROZES	ChainsmokersVEVO	The Chainsmokers	Roses	ok	Y		3
LTCyZvb2Uzw	santeria- Sublime	codawgxx	Sublime	Santeria	ok	Y		3
Jp6j5HJ-Cok	The Real Ritchie Valens - La Bamba	Zak Millington	Los Lobos	La Bamba	ok	Y		7
fWNaR-rxAic	Carly Rae Jepsen - Call Me Maybe	CarlyRaeJepsenVEVO	Carly Rae Jepsen	Call Me Maybe	ok	Y		6
9f06QZCVUHg	Bryan Adams - Summer Of 69 (Official Music Video)	Bryan Adams	Bryan Adams	Summer of '69	ok	Y		6
GuJQSAiODqI	Madonna - Vogue (Official Video)	Madonna	Madonna	Vogue	ok	Y		8
UuykinXrTUk	Herve Vilard ( Fais La Rire )	Herve VilardMD	Hervé Vilard	Fais-la rire	ok	Y		1
LzHoZYextb8	Noir Désir - Un Jour En France (Clip Officiel)	NoirDesirVEVO	Noir Désir	Un jour en France	ok	Y		1
gYF-UQFjs9Y	Mireille Mathieu - Mon crédo (Audio)	mireillemathieuVEVO	Mireille Mathieu	Mon credo	ok	Y		1
Jh4QFaPmdss	(여자)아이들((G)I-DLE) - 'TOMBOY' Official Music Video	i-dle (아이들)	(G)I-DLE	TOMBOY	ok	Y		3
AWGqoCNbsvM	Colbie Caillat - Bubbly (Official Music Video)	ColbieCaillatVEVO	Colbie Caillat	Bubbly	ok	Y		2
yCmsZUN4r_s	Faith Hill - "Breathe" (Official Video)	Faith Hill	Faith Hill	Breathe	ok	Y		2
OIRE6iw-ws4	Peter Bjorn and John - Young Folks (Official Video)	PeterBjornJohnVEVO	Peter Bjorn and John	Young Folks	ok	N	not_in_allowed_regions	3
25rL-ooWICU	All-4-One - I Swear	All-4-One (Official Channel)	All-4-One	I Swear	ok	Y		2
CevxZvSJLk8	Katy Perry - Roar	KatyPerryVEVO	Katy Perry	Roar	ok	Y		8
wdGZBRAwW74	Katy Perry - Thinking Of You (Official)	KatyPerryVEVO	Katy Perry	Thinking of You	ok	Y		1
3xUfCUFPL-8	Beyoncé - XO (Video)	BeyoncéVEVO	Beyoncé	XO	ok	Y		1
Mtpnv1D-HXo	Indochine - Trois nuits par semaine (Audio)	indochineVEVO	Indochine	Trois nuits par semaine	ok	Y		2
CsF_lqnALQw	Ricky Martin - She Bangs [English Version] (audio)	RickyMartinVEVO	Ricky Martin	She Bangs	ok	Y		1
jxczVhG0os8	Elbow - Grounds For Divorce	ElbowVEVO	Elbow	Grounds for Divorce	ok	Y		2
3szpaphXiqE	Sam Smith - Stay With Me (Stripped)	SamSmithVEVO	Sam Smith	Stay With Me	ok	Y		4
GPUg7n8-M6o	Conan Gray - Heather (Official Lyric Video)	ConanGrayVEVO	Conan Gray	Heather	ok	Y		3
zvCBSSwgtg4	The Lumineers - Ho Hey (Official Video)	The Lumineers	The Lumineers	Ho Hey	ok	Y		6
hXCKLJGLENs	The Cure - Lovesong (Official Music Video)	RHINO	The Cure	Lovesong	ok	Y		1
S-cbOl96RFM	Etta James - At Last - Lyrics	Jennie Postemus (Preppy52)	Etta James	At Last	ok	Y		5
NdYWuo9OFAw	Goo Goo Dolls – Iris [Official Music Video] [4K Remaster]	Goo Goo Dolls	Goo Goo Dolls	Iris	ok	Y		11
k4V3Mo61fJM	Coldplay - Fix You (Official Video)	Coldplay	Coldplay	Fix You	ok	Y		2
LPn0KFlbqX8	Cyndi Lauper - True Colors (Official HD Video)	CyndiLauperVEVO	Cyndi Lauper	True Colors	ok	Y		2
Ob7vObnFUJc	Beyoncé - Love On Top (Official Video)	BeyoncéVEVO	Beyoncé	Love on Top	ok	Y		1
nIjVuRTm-dc	Maroon 5 - She Will Be Loved (Official Music Video)	Maroon5VEVO	Maroon 5	She Will Be Loved	ok	Y		4
SUP3aDxuAlE	Kipo and the Age of Wonderbeasts	Piano Kingdom - Topic	Bande originale	Kipo Theme	title_mismatch	Y		1
Lo2qQmj0_h4	AC/DC - You Shook Me All Night Long (Official 4K Video)	acdcVEVO	AC/DC	You Shook Me All Night Long	ok	Y		5
6p-lDYPR2P8	Madonna - Material Girl (Official Video) [HD]	Madonna	Madonna	Material Girl	ok	Y		5
nm6DO_7px1I	SNAP! - The Power (Official 4K Music Video)	SNAP!	Snap!	The Power	ok	Y		2
tMDFv5m18Pw	Ozzy Osbourne - Crazy Train (Official Animated Video)	OzzyOsbourneVEVO	Ozzy Osbourne	Crazy Train	ok	Y		4
WTJSt4wP2ME	K'NAAN - Wavin' Flag (Coca-Cola Celebration Mix)	KnaanVEVO	K'naan	Wavin' Flag	ok	Y		1
y6120QOlsfU	Darude - Sandstorm	Darude	Darude	Sandstorm	ok	Y		5
XPBwXKgDTdE	Taylor Swift - Mine	Taylor Swift	Taylor Swift	Mine	ok	Y		1
_3eC35LoF4U	Talking Heads - Burning Down the House (Official Video)	Talking Heads	Talking Heads	Burning Down the House	ok	Y		4
iol0B-clFFM	The Foundations - Build Me Up Buttercup	gemz4will	The Foundations	Build Me Up Buttercup	ok	Y		3
JsOVJ1PAC6s	Lizzo - About Damn Time (Lyrics)	The Vibe Guide	Lizzo	About Damn Time	ok	Y		4
bg1sT4ILG0w	Nico & Vinz - Am I Wrong [Official Music Video]	Nico & Vinz	Nico & Vinz	Am I Wrong	ok	Y		2
uJ_1HMAGb4k	Vance Joy - 'Riptide' Official Video	Mushroom	Vance Joy	Riptide	ok	Y		5
F90Cw4l-8NY	Bastille - Pompeii (Official Music Video)	BastilleVEVO	Bastille	Pompeii	ok	Y		5
qQkBeOisNM0	Fun.: Some Nights [OFFICIAL VIDEO]	Fueled By Ramen	fun.	Some Nights	ok	Y		5
qpgTC9MDx1o	Maroon 5 - Animals	Maroon5VEVO	Maroon 5	Animals	ok	Y		3
f2JuxM-snGc	Lorde - Team	LordeVEVO	Lorde	Team	ok	Y		4
oh2LWWORoiM	Tove Lo - Habits (Stay High)	ToveLoVEVO	Tove Lo	Habits (Stay High)	ok	Y		3
u0fk6syQ7iY	Labrinth - Earthquake (Official Video) ft. Tinie Tempah	LabrinthVEVO	Labrinth	Earthquake	ok	Y		2
xTlNMmZKwpA	Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]	Cardi B	Cardi B	I Like It	ok	Y		5
J7ATTjg7tpE	Santana - Oye Como Va (Official Audio)	SantanaVEVO	Santana	Oye Como Va	ok	Y		2
nrIPxlFzDi0	The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video)	ABKCOVEVO	The Rolling Stones	Satisfaction	ok	Y		4
qM5W7Xn7FiA	2 Unlimited - No Limit (1993)	Pentagon	2 Unlimited	No Limit	ok	Y		4
auzfTPp4moA	Yeah Yeah Yeahs - Heads Will Roll (Official Music Video)	YeahYeahYeahsVEVO	Yeah Yeah Yeahs	Heads Will Roll	ok	Y		2
ytQ5CYE1VZw	Eminem - Till I Collapse [HD]	msvogue23	Eminem feat. Nate Dogg	Till I Collapse	ok	Y		1
unfzfe8f9NI	ABBA - Mamma Mia (Official Music Video)	AbbaVEVO	ABBA	Mamma Mia	ok	Y		5
JtH68PJIQLE	Grimes - Oblivion	GrimesVEVO	Grimes	Oblivion	ok	Y		2
5HI_xFQWiYU	When In Rome - The Promise (Official Music Video)	WhenInRomeVEVO	When in Rome	The Promise	ok	Y		3
NhGAQ6fjJxo	Gipsy Kings - Bamboléo (Audio)	gipsykingsVEVO	Gipsy Kings	Bamboléo	ok	Y		3
RZ2oXzrnti4	The Specials - Ghost Town [Official HD Remastered Video]	TheSpecialsOfficVEVO	The Specials	Ghost Town	ok	Y		1
eH3giaIzONA	Whitney Houston - I Wanna Dance With Somebody (Who Loves Me) (Official 4K Video)	whitneyhoustonVEVO	Whitney Houston	I Wanna Dance with Somebody	ok	Y		9
L0MK7qz13bU	Idina Menzel - Let It Go (From Frozen/Sing-Along)	DisneyMusicVEVO	Idina Menzel	Let It Go	ok	Y		4
IddP8AAIGTQ	One Day More! - Les Misérables - 10th Anniversary Concert	HX264	Les Misérables Cast	One Day More	ok	Y		1
KjgWWjkNbhU	Elton John - Can You Feel the Love Tonight (From "The Lion King"/Official Video)	DisneyMusicVEVO	Elton John	Can You Feel the Love Tonight	ok	Y		7
cPAbx5kgCJo	Auli'i Cravalho - How Far I'll Go (from Moana/Official Video)	DisneyMusicVEVO	Auli'i Cravalho	How Far I'll Go	ok	Y		5
A_sY2rjxq6M	The Trammps - Disco Inferno	CoooLverstukas	The Trammps	Disco Inferno	ok	Y		2
7wtfhZwyrcc	Imagine Dragons - Believer (Official Music Video)	ImagineDragonsVEVO	Imagine Dragons	Believer	ok	Y		6
ruNrdmjcNTc	Toby Keith - Courtesy Of The Red, White And Blue (The Angry American) (Official Music Video)	TobyKeithVEVO	Toby Keith	Courtesy of the Red, White and Blue	ok	Y		1
8xg3vE8Ie_E	Taylor Swift - Love Story	Taylor Swift	Taylor Swift	Love Story	ok	Y		8
dBN86y30Ufc	Willie Nelson - On The Road Again (Official Audio)	WillieNelsonVEVO	Willie Nelson	On the Road Again	ok	Y		2
Qt0_oPPK6eA	Big & Rich - Save A Horse [Ride A Cowboy] (Video)	Big & Rich	Big & Rich	Save a Horse (Ride a Cowboy)	ok	Y		1
Gw7gNf_9njs	The Chicks - Goodbye Earl (Official Video)	dixiechicksVEVO	Dixie Chicks	Goodbye Earl	ok	Y		1
JW5UEW2kYvc	Alan Jackson - Chattahoochee (Official HD Video)	alanjacksonVEVO	Alan Jackson	Chattahoochee	ok	Y		1
qNB2IRuOluU	Trollhunters Theme	Alexandre Desplat - Topic	Bande originale	Trollhunters Theme	ok	Y		1
Q5mPXzpRfUg	Cali - (01) C'est Quand le Bonheur	komo	Cali	C'est quand le bonheur ?	ok	Y		2
Ykd3th21ZrU	Cathy Ang - Rocket to the Moon (From the Netflix Film "Over the Moon")	SonySoundtracksVEVO	Cathy Ang	Rocket to the Moon	ok	Y		1
6hV-UnrC9tU	M - Je Dis Aime (.)	100% Chanson Française	-M-	Je dis aime	ok	Y		2
sniX7lOcfZk	Beauty and the Beast  Tale as Old as Time Angela Lansbury	Disney Movie Geek	Angela Lansbury	Beauty and the Beast	ok	Y		1
2Nf90YKfQXA	Brown Sugar	The Rolling Stones - Topic	The Rolling Stones	Brown Sugar	ok	Y		3
57CeNLS-IpI	Go the Distance (From "Hercules" Soundtrack)	Roger Bart - Topic	Roger Bart	Go the Distance	ok	Y		1
2zvd1JQ0EKY	Los Del Rio - Macarena (Lyrics)	Alternate	Los del Río	Macarena	ok	Y		6
79DijItQXMM	Dwayne Johnson - You're Welcome (from Moana/Official Video)	DisneyMusicVEVO	Dwayne Johnson	You're Welcome	ok	Y		3
O1bGvhjSuSU	Riding Free (Spirit: Riding Free)	Maisy Stella - Topic	Bande originale	Spirit Riding Free Theme	ok	Y		1
SBjQ9tuuTJQ	Foo Fighters - The Pretender	foofightersVEVO	Fleetwood Mac	Don't Stop	ok	Y		2
HfTqd31L8xI	Shaka Ponk - I'm Picky (2020 - Recycled)	Shaka Ponk	Shaka Ponk	I'm Picky	ok	Y		1
2nXGPZaTKik	Culture Club - Do You Really Want To Hurt Me	CultureClubVEVO	Culture Club	Do You Really Want to Hurt Me	ok	Y		3
Wmc8bQoL-J0	Destiny's Child - Survivor (Official HD Video)	DestinysChildVEVO	Destiny's Child	Survivor	ok	Y		3
nlcIKh6sBtc	Lorde - Royals (US Version)	LordeVEVO	Lorde	Royals	ok	Y		3
JGwWNGJdvx8	Ed Sheeran - Shape of You (Official Music Video)	Ed Sheeran	Ed Sheeran	Shape of You	ok	Y		4
JRfuAukYTKg	David Guetta - Titanium ft. Sia (Official Video)	David Guetta	David Guetta ft. Sia	Titanium	ok	Y		8
CPK2HwYzjkA	Bonnie Tyler - Holding Out for a Hero (Official Lyric Video)	bonnietylerVEVO	Bonnie Tyler	Holding Out for a Hero	ok	Y		2
Cv6tuzHUuuk	The Bangles - Walk Like an Egyptian (Official Video)	TheBanglesVEVO	The Bangles	Walk Like an Egyptian	ok	Y		5
LatorN4P9aA	Journey - Separate Ways (Worlds Apart) (Official HD Video - 1983)	journeyVEVO	Journey	Separate Ways (Worlds Apart)	ok	Y		4
UfmkgQRmmeE	Van Morrison - Brown Eyed Girl (Official Audio)	VanMorrisonVEVO	Van Morrison	Brown Eyed Girl	ok	Y		2
2Oo8QzDHimQ	Alice Cooper - School's Out (from Alice Cooper: Trashes The World)	AliceCooperVEVO	Alice Cooper	School's Out	ok	Y		1
SGK00Q7xx-s	Korn - Blind (Official HD Video)	KornVEVO	Korn	Blind	ok	Y		2
5abamRO41fE	Slipknot - Psychosocial [OFFICIAL VIDEO] [HD]	Slipknot	Slipknot	Psychosocial	ok	Y		1
zTuD8k3JvxQ	Alice In Chains - Them Bones (Official HD Video)	AliceInChainsVEVO	Alice in Chains	Them Bones	ok	Y		1
B_3TlrZLpQ0	Accept - Balls To The Wall	AcceptVEVO	Accept	Balls to the Wall	ok	N	not_in_allowed_regions	2
2V12rXZ3QnU	Ninho - Lettre à une femme	Tom Vandale	Ninho	Lettre à une femme	ok	Y		1
3VNUyjRRjxM	Overkill - Motorhead	Austin Fallon	Motörhead	Overkill	ok	Y		1
wJRh0PlWB6g	AaRON - U Turn (Lili) [CLIP OFFICIEL]	AaRON	AaRON	U-Turn (Lili)	ok	Y		1
5llcBScGuAE	Las Ketchup - Asereje (The Ketchup Song) (Official Video)	Altra Moda Music	Las Ketchup	Aserejé	ok	Y		7
sEXHeTcxQy4	The Fratellis - Chelsea Dagger	TheFratellisVEVO	The Fratellis	Chelsea Dagger	ok	Y		2
XMBDdTHTIEo	Tiakola - Mélo Décalé	TIAKOLA	Tiakola	Mélo	ok	Y		1
9X6e7uctAww	Van Halen - You Really Got Me (Official Music Video)	Van Halen	Van Halen	You Really Got Me	ok	Y		2
a7SouU3ECpU	Alesso - Heroes (we could be) ft. Tove Lo	AlessoOfficialVEVO	Alesso ft. Tove Lo	Heroes	ok	Y		1
3OnnDqH6Wj8	Flo Rida - Good Feeling [Official Video]	Flo Rida	Flo Rida	Good Feeling	ok	Y		2
