artist	title	year	rows	current_id	problem	reason	playlists
Niagara	Bain de minuit	1985	2		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR — Années 80, Variété FR — Années 80 — Difficile
Niagara	La belle inconnue	1986	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (1 résultats, 0 rejetés)	Variété FR — Années 80 — Mix
Nirvana	The Man Who Sold the World	1993	1	1545867152	version suspecte : « Rehearsal » (rehearsal)	aucune version standard trouvée (25 résultats, 15 rejetés)	Reprises célèbres
Niska	Cœur noir	2024	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Hip-Hop FR — Années 2020
OMD	Enola Gay	1980	2	714776989	artiste différent : « Orchestral Manoeuvres In the Dark » au lieu de « OMD » (reprise ?)	aucune version standard trouvée (25 résultats, 10 rejetés)	Années 80, Années 80 — Difficile
Para One	Dundun		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 2 rejetés)	French Touch & Electro
Patrick Sébastien	Le Petit Bonhomme en mousse		1	1444166132	version suspecte : « live » (live)	aucune version standard trouvée (16 résultats, 10 rejetés)	Karaoké de Komptoir
Pink	Just Give Me a Reason		1	545728467	artiste différent : « P!nk » au lieu de « Pink » (reprise ?)	aucune version standard trouvée (25 résultats, 6 rejetés)	Pop Divas
Pink	Raise Your Glass		1	400494650	artiste différent : « P!nk » au lieu de « Pink » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Pop Divas
Pink & Nate Ruess	Just Give Me a Reason		1	634457915	artiste différent : « Jason Chen & Megan Nicole » au lieu de « Pink & Nate Ruess » (reprise ?)	aucune version standard trouvée (25 résultats, 4 rejetés)	Duos cultes
Pinpin & Lili	Le loup, le renard et la belette		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Enfants — 4 à 8 ans
PLK	Au final		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Hip-Hop FR — Années 2020
Quevedo	Quédate		2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 3 rejetés)	Années 2020, Latino
Renaud	Encore une nuit	2002	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Variété FR — Années 2000, Variété FR — Années 2000 — Difficile
Ricchi e Poveri	Che sarà		1	998281784	artiste différent : « Ricchi & Poveri » au lieu de « Ricchi e Poveri » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Italie classique
Ricchi e Poveri	Mamma Maria	1982	2	252058369	artiste différent : « Ricchi & Poveri » au lieu de « Ricchi e Poveri » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Italie classique, Italie
Ricchi e Poveri	Sarà perché ti amo	1981	2	194668794	artiste différent : « Ricchi & Poveri » au lieu de « Ricchi e Poveri » (reprise ?)	aucune version standard trouvée (25 résultats, 3 rejetés)	Italie, Italie classique
Robin des Bois (cast)	À nous	2013	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Comédies musicales françaises
Roméo et Juliette	Aimer	2000	2	6784698747	artiste différent : « Gérard Presgurvic, Damien Sargue & Cécilia Cara » au lieu de « Roméo et Juliette » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Variété FR — Années 2000, Variété FR — Années 2000 — Difficile
Roméo et Juliette	Les rois du monde	2000	2	6784697908	artiste différent : « Gérard Presgurvic, Damien Sargue, Philippe D'Avilla & Gregori Baquet » au lieu de « Roméo et Juliette » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Variété FR — Années 2000, Variété FR — Années 2000 — Moyen
Roméo et Juliette (cast)	J'ai peur	2001	1	1546711080	artiste différent : « Juliette Katz » au lieu de « Roméo et Juliette (cast) » (reprise ?)	aucune version standard trouvée (25 résultats, 0 rejetés)	Comédies musicales françaises
Roméo et Juliette (cast)	Vérone	2001	1	6784697612	artiste différent : « Gérard Presgurvic & Frédéric Charter » au lieu de « Roméo et Juliette (cast) » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Comédies musicales françaises
Run-D.M.C.	It's Tricky	1986	1	444480442	artiste différent : « Run-DMC » au lieu de « Run-D.M.C. » (reprise ?)	aucune version standard trouvée (25 résultats, 0 rejetés)	Rap US
Run-D.M.C.	Walk This Way	1986	2	270787343	artiste différent : « Run-DMC » au lieu de « Run-D.M.C. » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Rap US, Reprises célèbres
S Club 7	Bring It All Back		1	1679423020	artiste différent : « S Club » au lieu de « S Club 7 » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « S Club » au lieu de « S Club 7 » (reprise ?))	Boys Bands & Girl Bands
S Club 7	Don't Stop Movin'	2001	2	1469524346	artiste différent : « S Club » au lieu de « S Club 7 » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « S Club » au lieu de « S Club 7 » (reprise ?))	Boys Bands & Girl Bands
S Club 7	Reach	2000	2	1440757665	artiste différent : « S Club » au lieu de « S Club 7 » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « S Club » au lieu de « S Club 7 » (reprise ?))	Nouvel An — Party & Compte à rebours, Boys Bands & Girl Bands
Silva	Lugar Comum		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Brésil
Siouxsie and the Banshees	Cities in Dust	1985	2	1443842139	artiste différent : « Siouxsie & The Banshees » au lieu de « Siouxsie and the Banshees » (reprise ?)	aucune version standard trouvée (25 résultats, 8 rejetés)	Années 80, Halloween — Nuit Frissons
Siouxsie and the Banshees	Spellbound	1981	1	1440764575	artiste différent : « Siouxsie & The Banshees » au lieu de « Siouxsie and the Banshees » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Halloween — Nuit Frissons
Skrillex & Diplo ft. Justin Bieber	Where Are Ü Now	2015	1	1035387848	artiste différent : « Pentatonix » au lieu de « Skrillex & Diplo ft. Justin Bieber » (reprise ?)	aucune version standard trouvée (25 résultats, 6 rejetés)	Electro & EDM
Skrillex and Diplo	Where Are Ü Now	2015	2	1035387848	artiste différent : « Pentatonix » au lieu de « Skrillex and Diplo » (reprise ?)	aucune version standard trouvée (25 résultats, 10 rejetés)	Années 2010, Années 2010 — Moyen
Sliimy	Tomber pour la France	2009	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (2 résultats, 1 rejetés)	Variété FR — Années 2000 — Mix
Steve Aoki	Pursuit of Happiness (remix)		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 15 rejetés)	Electro & EDM
Stop	Spanish Boy		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Italo Disco Classics
Sweeney Todd	Not While I'm Around		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 2 rejetés)	Comédies musicales US
Take That	Back for Good		2	1481098632	version suspecte : « Live » (live)	aucune version standard trouvée (25 résultats, 19 rejetés)	Pop, Boys Bands & Girl Bands
Tal	Pourtant	2013	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Variété FR — Années 2010, Variété FR 2010s — Medium
The Black Eyed Peas	Boom Boom Pow	2009	3	1446016727	artiste différent : « Black Eyed Peas » au lieu de « The Black Eyed Peas » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Black Eyed Peas » au lieu de « The Black Eyed Peas » (reprise ?))	Tubes de l'été — 2005 à 2019, Anniversaire, Rap US
The Black Eyed Peas	I Gotta Feeling	2009	11	1446016735	artiste différent : « Black Eyed Peas » au lieu de « The Black Eyed Peas » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Black Eyed Peas » au lieu de « The Black Eyed Peas » (reprise ?))	Nouvel An — Party & Compte à rebours, Karaoké — Soirée Classiques, Années 2000 — Facile, Années 2000, Années 2000 — Moyen, Rap US, Tubes de l'été, Années 2000 — Mix, Chants de stade, Anniversaire, Tubes de l'été — 2005 à 2019
The Black Eyed Peas	Where Is the Love?	2003	4	1615142635	artiste différent : « Black Eyed Peas » au lieu de « The Black Eyed Peas » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Black Eyed Peas » au lieu de « The Black Eyed Peas » (reprise ?))	Rap US, Années 2000 — Facile, Années 2000 — Moyen, Années 2000
The Book of Mormon	Hello		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Comédies musicales US
The Chainsmokers ft. Daya	Don't Let Me Down	2016	5	1118534159	artiste différent : « The Chainsmokers » au lieu de « The Chainsmokers ft. Daya » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « The Chainsmokers » au lieu de « The Chainsmokers ft. Daya » (reprise ?))	Années 2010 — Mix, Années 2010 — Facile, Tubes de l'été — 2005 à 2019, Electro & EDM, Années 2010
The Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)		1	1475816838	artiste différent : « Four Tops » au lieu de « The Four Tops » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Four Tops » au lieu de « The Four Tops » (reprise ?))	Soul & R&B
The Four Tops	Reach Out I'll Be There		1	1475818105	artiste différent : « Four Tops » au lieu de « The Four Tops » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Four Tops » au lieu de « The Four Tops » (reprise ?))	Soul & R&B
The Fugees	Ready or Not		1	267384126	artiste différent : « Fugees » au lieu de « The Fugees » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Fugees » au lieu de « The Fugees » (reprise ?))	Le Sample
The Jackson 5	ABC	1970	3	1442885978	artiste différent : « Jackson 5 » au lieu de « The Jackson 5 » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Jackson 5 » au lieu de « The Jackson 5 » (reprise ?))	Années 70 — Mix, Années 70, Années 70 — Medium
The Jackson 5	I Want You Back	1969	3	1443222051	artiste différent : « Jackson 5 » au lieu de « The Jackson 5 » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Jackson 5 » au lieu de « The Jackson 5 » (reprise ?))	Années 70, Soul & R&B, Années 70 — Medium
The Lox	We Gonna Make It		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 4 rejetés)	Rap US
The Pixies	Where Is My Mind?		1	1025318629	artiste différent : « Pixies » au lieu de « The Pixies » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Pixies » au lieu de « The Pixies » (reprise ?))	Rock
The Pretenders	I'll Stand by You	1994	1	118125081	artiste différent : « Pretenders » au lieu de « The Pretenders » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Pretenders » au lieu de « The Pretenders » (reprise ?))	Mariage — First Dance & Cérémonie
The Sound of Music	Do-Re-Mi		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 6 rejetés)	Comédies musicales US
The Toadies	Possum Kingdom	1994	2	1443785206	artiste différent : « Toadies » au lieu de « The Toadies » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Toadies » au lieu de « The Toadies » (reprise ?))	Années 90, Années 90 — Moyen
Tiakola	Hasta Luego	2022	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (3 résultats, 0 rejetés)	Hip-Hop FR — Années 2020
Timbaland ft. OneRepublic	Apologize	2007	2	1440889785	artiste différent : « OneRepublic » au lieu de « Timbaland ft. OneRepublic » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « OneRepublic » au lieu de « Timbaland ft. OneRepublic » (reprise ?))	Années 2000, Années 2000 — Moyen
Tom Petty and the Heartbreakers	Runnin' Down a Dream	1989	1	1440825631	artiste différent : « Tom Petty » au lieu de « Tom Petty and the Heartbreakers » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Tom Petty » au lieu de « Tom Petty and the Heartbreakers » (reprise ?))	Hard Rock 80s
Tommy James and the Shondells	Crimson and Clover	1968	2	690513775	artiste différent : « Tommy James & The Shondells » au lieu de « Tommy James and the Shondells » (reprise ?)	aucune version standard trouvée (25 résultats, 4 rejetés)	One-Hit Wonders, Années 60 — Internationales
Tryo	L'hymne de nos campagnes	1998	1	1209101668	version suspecte : « Live » (live)	aucune version standard trouvée (10 résultats, 6 rejetés)	Rock Français
Vald	Eurotruck	2022	1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Hip-Hop FR — Années 2020
Vianney	Tcheu la chance	2018	2		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR Années 2010 — Hard, Variété FR — Années 2010
Victory	Don't Get Mad, Get Even		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Hard Rock 80s
Vitalic	Le frunkp	2005	1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR — Années 2000 — Mix
Werenoi	Guerilla		2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (1 résultats, 0 rejetés)	Rap FR culte, Hip-Hop FR — Années 2020
West Side Story	Maria		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Comédies musicales US
Wicked	For Good		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 3 rejetés)	Comédies musicales US
Wild Dogs	Man Against Machine		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Hard Rock 80s
